x,y,t
0.481450,0.134929,1.772000
0.479923,0.140265,1.775000
0.478871,0.143813,1.777000
0.477246,0.149119,1.780000
0.476129,0.152647,1.782000
0.474986,0.156166,1.784000
0.473818,0.159677,1.786000
0.472016,0.164927,1.789000
0.470156,0.170156,1.792000
0.468884,0.173630,1.794000
0.467587,0.177095,1.796000
0.465592,0.182275,1.799000
0.463540,0.187431,1.802000
0.461431,0.192565,1.805000
0.459993,0.195975,1.807000
0.457790,0.201068,1.810000
0.455530,0.206137,1.813000
0.453992,0.209503,1.815000
0.451638,0.214529,1.818000
0.449229,0.219529,1.821000
0.447593,0.222847,1.823000
0.445931,0.226154,1.825000
0.444245,0.229447,1.827000
0.441671,0.234364,1.830000
0.439043,0.239252,1.833000
0.437260,0.242495,1.835000
0.435454,0.245724,1.837000
0.432699,0.250542,1.840000
0.429891,0.255330,1.843000
0.427990,0.258504,1.845000
0.425095,0.263239,1.848000
0.422146,0.267941,1.851000
0.420152,0.271058,1.853000
0.418135,0.274159,1.855000
0.416094,0.277246,1.857000
0.412991,0.281848,1.860000
0.410894,0.284896,1.862000
0.407707,0.289439,1.865000
0.404469,0.293947,1.868000
0.401181,0.298419,1.871000
0.397844,0.302853,1.874000
0.394458,0.307251,1.877000
0.392173,0.310161,1.879000
0.388706,0.314495,1.882000
0.385192,0.318791,1.885000
0.382822,0.321632,1.887000
0.380431,0.324457,1.889000
0.376807,0.328659,1.892000
0.374364,0.331439,1.894000
0.370662,0.335574,1.897000
0.368169,0.338307,1.899000
0.365655,0.341023,1.901000
0.361847,0.345060,1.904000
0.357995,0.349055,1.907000
0.354098,0.353008,1.910000
0.350158,0.356917,1.913000
0.347507,0.359498,1.915000
0.343495,0.363333,1.918000
0.339441,0.367124,1.921000
0.336715,0.369625,1.923000
0.333971,0.372107,1.925000
0.329820,0.375791,1.928000
0.325628,0.379429,1.931000
0.322811,0.381828,1.933000
0.319977,0.384207,1.935000
0.317125,0.386564,1.937000
0.312815,0.390060,1.940000
0.309920,0.392364,1.942000
0.307008,0.394647,1.944000
0.304079,0.396908,1.946000
0.299654,0.400259,1.949000
0.295193,0.403560,1.952000
0.292199,0.405734,1.954000
0.287677,0.408952,1.957000
0.284643,0.411070,1.959000
0.280062,0.414204,1.962000
0.275447,0.417287,1.965000
0.272352,0.419314,1.967000
0.267681,0.422311,1.970000
0.264548,0.424281,1.972000
0.259823,0.427191,1.975000
0.255065,0.430049,1.978000
0.250276,0.432853,1.981000
0.245455,0.435605,1.984000
0.240605,0.438303,1.987000
0.235725,0.440946,1.990000
0.230816,0.443536,1.993000
0.227528,0.445232,1.995000
0.222571,0.447730,1.998000
0.219252,0.449365,2.000000
0.214251,0.451771,2.003000
0.210902,0.453344,2.005000
0.205857,0.455657,2.008000
0.202479,0.457168,2.010000
0.197392,0.459387,2.013000
0.193987,0.460835,2.015000
0.190572,0.462258,2.017000
0.185429,0.464345,2.020000
0.181987,0.465704,2.022000
0.176807,0.467696,2.025000
0.171605,0.469629,2.028000
0.168125,0.470886,2.030000
0.162888,0.472724,2.033000
0.159385,0.473916,2.035000
0.155874,0.475083,2.037000
0.150591,0.476783,2.040000
0.145289,0.478426,2.043000
0.141745,0.479488,2.045000
0.136413,0.481032,2.048000
0.132850,0.482028,2.050000
0.129279,0.482998,2.052000
0.123910,0.484403,2.055000
0.120322,0.485307,2.057000
0.114928,0.486612,2.060000
0.111324,0.487449,2.062000
0.105906,0.488655,2.065000
0.100476,0.489801,2.068000
0.096849,0.490531,2.070000
0.093216,0.491234,2.072000
0.087757,0.492238,2.075000
0.084113,0.492874,2.077000
0.078636,0.493778,2.080000
0.074980,0.494346,2.082000
0.071320,0.494887,2.084000
0.067656,0.495402,2.086000
0.062153,0.496122,2.089000
0.056642,0.496781,2.092000
0.051124,0.497379,2.095000
0.045600,0.497916,2.098000
0.040070,0.498392,2.101000
0.034536,0.498806,2.104000
0.028997,0.499158,2.107000
0.025302,0.499359,2.109000
0.021606,0.499533,2.111000
0.016060,0.499742,2.114000
0.010512,0.499889,2.117000
0.004963,0.499975,2.120000
0.001263,0.499998,2.122000
-0.002438,0.499994,2.124000
-0.007987,0.499936,2.127000
-0.011686,0.499863,2.129000
-0.015385,0.499763,2.131000
-0.019083,0.499636,2.133000
-0.022780,0.499481,2.135000
-0.028323,0.499197,2.138000
-0.032016,0.498974,2.140000
-0.035707,0.498723,2.142000
-0.039397,0.498445,2.144000
-0.044928,0.497977,2.147000
-0.050452,0.497448,2.150000
-0.054132,0.497061,2.152000
-0.057809,0.496647,2.154000
-0.061482,0.496206,2.156000
-0.066986,0.495493,2.159000
